ID,mod01,mod02,mod03,mod04,c_mod,z_mod,Categ,mod01_01,mod01_02,mod01_03,mod01_04,mod01_05,c_mod1,z_mod1,mod02_01,mod02_02,mod02_03,mod02_04,mod02_05,mod02_06,mod02_07,c_mod2,z_mod2,mod03_01,mod03_02,mod03_03,mod03_04,mod03_05,mod03_06,mod03_07,c_mod3,z_mod3,mod04_01,mod04_02,mod04_03,mod04_04,mod04_05,mod04_06,c_mod4,z_mod4,Reg_hab_dens,Riv_net_disp_dist,Glac_lake_marine_dist,Time_since_glac,Surface_area,Max_depth,Secchi_depth,Prop_shield_litho,Clim_MWMT,Clim_MCMT,Clim_MSP,Clim_PAS
IDL42097,0,1,0,0,0.444444444,-0.784588268,MOD02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.856133804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,157558.5684,50443.49127,10.5,16.2,7.3,2,1,17.5442623,-14.64098361,412.9344262,293.5409836
IDL42098,0,1,0,0,0.5,0.550409294,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.375,1.465591877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,123072.6381,23171.2065,11,6.7,15.3,3.2,1,17.94754098,-13.4147541,399.0163934,276.704918
IDL42100,0,1,0,0,0.444444444,-0.784588268,MOD02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165931,74250.36401,19882.84327,11,8.3,12.2,5.3,1,17.92295082,-13.50327869,401.1967213,278.442623
IDL42101,0,1,0,0,0.5,-0.784588268,MOD02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,-0.985427481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,211326.6118,33577.39825,10.5,23.3,5.5,2,1,17.67377049,-14.28360656,401.8688525,280.0819672
IDL42104,0,1,0,0,0.5,-1.452087048,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.133313273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,114680.4783,19057.4358,11,7.4,2.7,1.9,1,17.9295082,-13.44918033,398.4098361,275.5245902
IDL42106,0,1,0,0,0.5,-1.452087048,MOD02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,107099.0755,0,11.5,12.1,12.2,4.3,0,18.36229508,-12.74098361,377.295082,241.2459016
IDL42107,0,1,0,0,0.444444444,-1.452087048,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.681738966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,165681.1051,54568.67066,10.5,35,7,2.9,1,17.48196721,-14.82295082,414.1311475,296.295082
IDL42109,0,1,0,0,0,-0.784588268,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.333860698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,397261.3495,44007.48353,10.5,4.8,10.4,3.5,1,17.67377049,-14.19344262,412.704918,293.1147541
IDL42111,0,1,0,0,0,-0.784588268,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.333860698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,107636.6096,1456.257497,11.5,14.2,17.4,4.4,1,18.03278689,-13.12295082,389.4590164,262.1967213
IDL42112,0,1,0,0,0.444444444,-1.452087048,MOD02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.985427481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,165154.1392,54170.23941,10.5,15.1,2.4,2.4,1,17.48196721,-14.81803279,413.9180328,296.3606557
IDL42113,0,1,0,0,0.277777778,1.217908074,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.56,1.465591877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,239744.0059,48581.36371,10.5,13,2.1,1.7,1,17.48360656,-14.95409836,408.8196721,285.0491803
IDL42115,0,1,0,0,0.277777778,1.217908074,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.56,1.465591877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,371663.509,56939.96683,10.5,59.6,18.9,6.4,1,17.53606557,-14.97868852,403.9836066,280.0983607
IDL42116,0,0,0,1,0,-1.412877706,MOD04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,-1.728306065,0.091959,243679.1893,51780.58644,10.5,81.1,18.3,6.6,1,17.47540984,-14.92295082,410.4098361,289.1803279
IDL42117,0,1,0,0,0,0.550409294,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.625,-0.333860698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,110571.279,0,11.5,10.5,12.8,3.9,0.759409138,18.28852459,-12.88360656,379.6065574,243.2786885
IDL42118,0,1,0,0,0.375,-0.117089487,MOD02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.666666667,-0.985427481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165931,67447.49266,21889.05148,11,10.4,17.4,3.3,0,18.05901639,-13.23770492,396.9672131,273.557377
IDL42119,0,1,0,0,0.277777778,1.217908074,MOD02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.64,0.856133804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,131672.7497,26756.06305,11,28.4,13.4,3.2,1,17.82786885,-13.66229508,402.4262295,281.3114754
IDL42120,0,1,0,0,0.5,-1.452087048,MOD02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,245260.8357,57873.50831,10.5,5.6,11,9,1,17.50491803,-15.0147541,409.0983607,285.852459
IDL42121,0,0,1,0,0.54,0.429518387,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.444444444,0.686624691,0,0,0,0,0,0,0,0,0.162491,11273.18082,0,11.5,595.9,21,6.3,0,18.41147541,-12.3147541,371.9508197,238.852459
IDL42122,0,0,0,1,0.5,-0.757832269,MOD04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.375,0.696429357,0.165931,38094.69927,4299.633862,11.5,172.7,15.6,3.8,1,18.48360656,-12.24262295,379.0491803,246.9672131
IDL42123,0,0,1,0,0.5,-0.472909007,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0.165931,38787.86733,1334.989761,11.5,25.6,2.7,0.801704781,1,18.43442623,-12.37377049,380.1311475,250.6393443
IDL42126,0,1,0,0,0.444444444,-0.784588268,MOD02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,-0.985427481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,183960.1443,65416.17163,10.5,61.5,13,3.9,1,17.39672131,-15.12459016,414.8196721,297.6885246
IDL42127,0,0,0,1,0.277777778,-0.43030955,MOD04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.56,0.696429357,0.091732,264149.2845,86545.56874,10,134.9,14,3.6,1,17.48852459,-15.24098361,409.9344262,293.0983607
IDL42128,0,0,1,0,0.53125,-0.472909007,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.686624691,0,0,0,0,0,0,0,0,0.162491,26722.78934,0,11.5,140.5,22.6,5.7,0,18.52295082,-12.43278689,373.2295082,239.1803279
IDL42129,0,1,0,0,0.32,0.550409294,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,247012.8305,58952.03575,10.5,39.5,20,6.5,1,17.47540984,-15.2295082,405.9016393,278.8360656
IDL42130,0,0,1,0,0.628099174,1.331945781,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.625,0,0,0,0,0,0,0,0,0,0.162491,24708.48035,0,11.5,82.2,18.9,5.5,0.684429453,18.42622951,-12.55409836,375.8688525,241.9016393
IDL42131,0,0,1,0,0.694214876,1.331945781,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.625,0,0,0,0,0,0,0,0,0,0.091959,11469.88119,0,11.5,108.1,5.5,2.9,0.78780536,18.64262295,-11.83770492,367.4918033,231.9672131
